                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8437,                 1.5408,                 1.1063,                 0.6951,                0.39981,                0.48764,                0.26852,                 1.6626,                 1.3919,                 1.0335,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.8422,                 1.5164,                 1.1053,                0.64373,                 0.4249,                0.49612,                0.27297,                 1.6347,                 1.3593,                 1.0271,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.8454,                 1.5101,                 1.1063,                0.68591,                0.40009,                0.49556,                0.27054,                 1.6557,                 1.3772,                 1.0246,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.8294,                   1.51,                 1.1134,                0.67897,                0.40074,                0.48629,                0.26827,                 1.6576,                 1.3724,                 1.0383,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.8259,                  1.504,                 1.1019,                 0.6745,                0.42022,                0.49762,                0.27664,                 1.6321,                 1.3906,                 1.0227,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.8286,                 1.4939,                 1.1042,                0.69654,                0.41048,                 0.5006,                 0.2778,                 1.6426,                  1.427,                 1.0279,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.7709,                 1.5178,                 1.0312,                0.67066,                0.41837,                 0.4948,                0.27387,                 1.6493,                 1.3461,                  1.027,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.7694,                 1.5429,                 1.0412,                0.65463,                0.42532,                0.49606,                0.27409,                 1.6476,                 1.3765,                 1.0284,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.7645,                  1.498,                 1.0279,                0.66731,                 0.4233,                0.49866,                0.27784,                 1.6321,                 1.3466,                 1.0245,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.7418,                 1.4978,                 1.0254,                0.65277,                0.42718,                0.49948,                0.27246,                 1.6471,                 1.3358,                 1.0228,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.7552,                 1.5055,                 1.0265,                0.66928,                0.41187,                0.49638,                0.27541,                 1.6382,                  1.369,                 1.0272,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.7441,                 1.4783,                  1.029,                0.67986,                0.41419,                0.49477,                0.27473,                 1.6414,                 1.3502,                  1.026,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.7273,                 1.4573,                 1.0226,                0.69489,                0.41198,                0.50184,                0.27835,                  1.626,                 1.3222,                 1.0247,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.7345,                 1.4782,                 1.0219,                0.67581,                0.42059,                0.49881,                 0.2791,                 1.6299,                 1.3262,                 1.0244,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.7322,                 1.4664,                 1.0194,                0.66511,                0.42374,                0.50353,                0.27848,                 1.6416,                 1.3211,                 1.0224,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.7243,                 1.4616,                 1.0235,                0.67666,                0.42301,                0.50385,                0.28047,                 1.6427,                 1.3232,                 1.0262,             8.2683e-05,             8.2683e-05,             8.2683e-05
