                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.348,                 4.4234,                 4.2719,                0.00325,                0.14286,                0.00882,                0.00232,                 4.9641,                 4.2013,                 4.1647,             0.00044299,             0.00044299,             0.00044299
                      2,                 4.0486,                 4.3104,                 4.2243,                0.00313,                0.14286,                0.01035,                0.00242,                  4.976,                 4.2449,                 4.1748,             0.00089581,             0.00089581,             0.00089581
                      3,                 4.3603,                 4.1546,                 4.1786,                0.00312,                0.14286,                0.00808,                0.00191,                 4.9888,                 4.3695,                 4.2036,              0.0013441,              0.0013441,              0.0013441
                      4,                 4.2055,                 3.9992,                 4.1085,                0.00212,                0.09524,                0.00601,                0.00173,                 5.0103,                 4.4513,                 4.2336,              0.0014078,              0.0014078,              0.0014078
                      5,                 3.9516,                 3.8706,                 4.0352,                0.67898,                0.09524,                0.00615,                0.00083,                 4.6242,                 4.0948,                 4.0044,              0.0014078,              0.0014078,              0.0014078
                      6,                 3.8297,                 3.7528,                 4.0072,                0.68072,                0.14286,                0.00902,                0.00267,                 4.0887,                  5.262,                 4.1731,              0.0014007,              0.0014007,              0.0014007
                      7,                  3.804,                 3.5764,                 3.9331,                0.02592,                0.19048,                  0.027,                0.00473,                 3.6202,                 5.7327,                 4.8153,              0.0013936,              0.0013936,              0.0013936
                      8,                 3.6318,                  3.517,                 3.8787,                0.00296,                0.21429,                0.01295,                0.00221,                  3.874,                 4.7676,                 4.0339,              0.0013866,              0.0013866,              0.0013866
                      9,                  3.618,                 3.4695,                 3.8194,                0.00273,                0.21429,                0.00496,                0.00122,                 3.9473,                 4.0659,                 3.8838,              0.0013795,              0.0013795,              0.0013795
                     10,                 3.4945,                 3.2846,                 3.6697,                 0.0013,                0.08333,                  0.002,                0.00034,                 4.0329,                  3.949,                  3.765,              0.0013724,              0.0013724,              0.0013724
