                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3248,                 4.5316,                 4.2629,                0.00215,                0.11423,                0.00185,                0.00034,                 4.8669,                 4.4478,                  4.161,             0.00018577,             0.00018577,             0.00018577
                      2,                 4.5624,                 4.5247,                 4.2414,                0.00273,                0.11423,                0.00198,                0.00037,                 4.8718,                 4.4569,                 4.1639,             0.00025851,             0.00025851,             0.00025851
                      3,                 4.4124,                 4.4761,                  4.252,                 0.0021,                0.08954,                0.00146,                0.00023,                 4.8767,                 4.4661,                 4.1665,              0.0001992,              0.0001992,              0.0001992
