                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 2.0182,                 2.8936,                  2.486,                0.04594,                0.08176,                0.02597,                0.00556,                 2.7598,                 4.1338,                 3.3206,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.9857,                  2.872,                 2.4193,                0.04644,                0.08923,                0.01894,                0.00495,                 2.7368,                 3.9867,                 3.2719,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.9611,                 2.8657,                   2.41,                0.06065,                0.07889,                0.02495,                 0.0065,                 2.8158,                 4.0336,                 3.3629,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.9403,                 2.8092,                 2.3754,                 0.0621,                 0.0868,                0.02394,                0.00597,                 2.8208,                 4.2426,                  3.386,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.8987,                 2.7646,                 2.3858,                0.05768,                0.08284,                0.02273,                0.00551,                 2.7257,                  4.043,                 3.2688,               0.000948,               0.000948,               0.000948
                     20,                 1.9035,                 2.7235,                 2.3593,                0.06046,                0.09894,                0.02547,                0.00676,                 2.7362,                 4.0356,                  3.315,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.8715,                 2.7332,                 2.3297,                0.05555,                0.10842,                0.02342,                0.00582,                 2.6936,                 4.1807,                 3.2484,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.8717,                 2.7552,                 2.3107,                0.06784,                0.11678,                0.02264,                 0.0065,                 2.7322,                 4.0741,                 3.3001,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.8536,                 2.6927,                 2.3222,                0.05068,                0.09475,                0.02215,                 0.0059,                 2.7686,                 4.1047,                  3.353,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.8291,                 2.7088,                 2.2812,                0.06305,                0.11813,                0.02423,                0.00515,                 2.7581,                  4.052,                 3.3606,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.8001,                  2.593,                 2.2646,                0.06909,                0.08837,                0.02267,                 0.0057,                 2.7544,                 4.2178,                 3.2915,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.8007,                 2.6049,                 2.2568,                0.05323,                0.10819,                0.02335,                0.00594,                  2.795,                 4.0853,                 3.3495,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.7993,                 2.6625,                 2.2845,                0.07062,                0.10136,                0.02704,                0.00703,                 2.7223,                 4.2254,                 3.3266,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.7885,                  2.599,                 2.2578,                0.06061,                0.10091,                0.02715,                0.00711,                 2.7381,                 4.2557,                 3.3217,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.7493,                 2.5485,                  2.223,                0.08328,                0.08087,                0.02895,                0.00644,                 2.7594,                 4.0716,                 3.3591,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.7649,                 2.5854,                  2.226,                0.08167,                0.08282,                0.03456,                0.00785,                 2.7601,                 4.4756,                 3.3518,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.7733,                 2.5451,                 2.2203,                0.06523,                0.10577,                0.02648,                0.00691,                 2.7527,                 4.1555,                  3.352,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.7374,                 2.5204,                 2.1884,                0.09429,                0.09916,                0.03079,                0.00802,                 2.7332,                  4.072,                 3.3266,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.7299,                 2.4982,                 2.2105,                0.08849,                0.08527,                0.02581,                0.00639,                  2.733,                 4.2641,                 3.3686,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.7287,                 2.4835,                 2.1822,                0.06244,                0.11129,                0.02487,                0.00619,                  2.724,                 4.1612,                 3.3216,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.7045,                 2.4947,                 2.1968,                0.06796,                0.10401,                0.02822,                0.00729,                 2.7465,                 4.2518,                 3.3686,             0.00049529,             0.00049529,             0.00049529
                     36,                  1.687,                 2.4535,                 2.1461,                0.07702,                0.11197,                0.02325,                0.00505,                 2.7822,                 4.4423,                 3.3785,               0.000467,               0.000467,               0.000467
                     37,                 1.6861,                 2.4717,                  2.149,                 0.0554,                0.09475,                0.02161,                0.00541,                 2.7597,                 4.2877,                 3.3666,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.6925,                 2.4583,                 2.1604,                0.05989,                0.10599,                0.02519,                0.00662,                 2.7521,                 4.2389,                 3.3985,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.6483,                 2.4069,                 2.1198,                0.06599,                0.11768,                 0.0274,                 0.0065,                  2.761,                 4.2411,                 3.3879,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.6457,                    2.4,                  2.131,                0.12254,                 0.0725,                0.03201,                0.00739,                 2.7771,                 4.3368,                  3.432,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.7071,                 2.4068,                 2.2022,                0.06415,                0.09938,                0.02836,                0.00594,                 2.7634,                 4.2417,                 3.4625,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.6794,                 2.3098,                 2.2036,                0.06527,                0.09961,                0.02472,                0.00643,                 2.7094,                 4.1605,                 3.3486,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.6717,                 2.2883,                 2.1803,                0.10491,                0.07691,                 0.0278,                0.00733,                 2.7035,                 4.1263,                 3.3428,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.6521,                 2.2612,                 2.1681,                 0.0921,                 0.0725,                0.02511,                0.00633,                 2.7325,                  4.129,                  3.374,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.6332,                 2.2366,                 2.1494,                0.07029,                0.08572,                0.02284,                0.00623,                 2.7659,                 4.2586,                 3.4116,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.6162,                 2.2085,                  2.126,                0.05513,                0.09057,                0.02735,                0.00725,                 2.7855,                 4.2036,                 3.4128,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.6052,                 2.1923,                  2.129,                0.05765,                0.10181,                0.02321,                0.00586,                 2.7852,                 4.2081,                 3.4274,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.5887,                 2.1705,                 2.1059,                0.05628,                0.09475,                0.02393,                0.00619,                 2.7443,                 4.1701,                 3.3991,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.5777,                 2.1563,                 2.1063,                0.05645,                0.09916,                0.02495,                0.00591,                 2.7642,                 4.2574,                 3.4126,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.5734,                 2.1587,                 2.1026,                0.11186,                0.07228,                0.02808,                0.00647,                 2.7568,                  4.265,                 3.4328,             7.0878e-05,             7.0878e-05,             7.0878e-05
