                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.435,                  4.035,                 4.0842,                0.00465,                0.43543,                0.00429,                0.00133,                 3.2317,                 5.4965,                 4.0132,             0.00047532,             0.00047532,             0.00047532
                      2,                 3.1049,                 3.8677,                 3.6536,                0.00462,                0.53373,                0.00552,                0.00139,                 3.0431,                 4.5416,                 3.5831,             0.00093281,             0.00093281,             0.00093281
                      3,                 2.9339,                 3.7408,                  3.379,                0.00384,                0.53877,                0.00602,                0.00154,                 3.0579,                 4.1676,                 3.4375,              0.0013714,              0.0013714,              0.0013714
                      4,                 2.7816,                 3.5717,                 3.1899,                0.01443,                 0.1954,                0.01335,                0.00365,                 2.9631,                 4.2129,                  3.354,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.6776,                 3.5667,                 3.0744,                0.00379,                0.53023,                0.01552,                0.00424,                 2.9032,                  4.452,                 3.3289,              0.0013441,              0.0013441,              0.0013441
                      6,                 2.5592,                 3.4269,                 2.9341,                0.00756,                0.36715,                0.00903,                0.00235,                 2.8882,                 4.5294,                 3.2511,              0.0013158,              0.0013158,              0.0013158
                      7,                 2.4129,                 3.3393,                 2.8521,                0.01751,                0.06388,                0.00917,                0.00267,                 2.8497,                 4.1494,                 3.3052,              0.0012875,              0.0012875,              0.0012875
                      8,                 2.3278,                 3.2749,                 2.7795,                0.01113,                0.09453,                0.00636,                0.00174,                 2.7673,                 4.3321,                 3.2801,              0.0012592,              0.0012592,              0.0012592
                      9,                 2.2449,                 3.2171,                  2.706,                0.03876,                0.07821,                 0.0142,                0.00401,                 2.8796,                 3.9587,                 3.2791,              0.0012309,              0.0012309,              0.0012309
                     10,                 2.1678,                 3.1175,                 2.6448,                0.03034,                0.07138,                0.01114,                0.00302,                 2.8784,                 4.1597,                 3.3724,              0.0012026,              0.0012026,              0.0012026
                     11,                  2.144,                 3.0893,                 2.5912,                0.04576,                0.06235,                 0.0129,                0.00322,                 2.7409,                 3.9914,                 3.2215,              0.0011744,              0.0011744,              0.0011744
                     12,                 2.1061,                 3.0531,                  2.568,                0.04691,                0.08064,                0.01582,                0.00445,                 2.7663,                 4.0402,                 3.2095,              0.0011461,              0.0011461,              0.0011461
                     13,                 2.0542,                 3.0151,                 2.5412,                0.03528,                0.04868,                0.01348,                 0.0035,                 2.7301,                 4.0706,                  3.251,              0.0011178,              0.0011178,              0.0011178
                     14,                 2.0357,                 2.9569,                 2.4991,                0.05963,                0.08968,                0.01949,                0.00516,                 2.7445,                  4.095,                 3.2644,              0.0010895,              0.0010895,              0.0010895
