                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5425,                 4.5477,                 4.2814,                0.00243,                0.10188,                0.00219,                 0.0005,                 4.8652,                 4.2207,                 4.1613,             0.00018577,             0.00018577,             0.00018577
                      2,                 4.4415,                 4.4756,                 4.2857,                0.00282,                0.11423,                0.00482,                0.00085,                 4.8707,                 4.2196,                 4.1637,             0.00037819,             0.00037819,             0.00037819
                      3,                 4.2628,                 4.4139,                  4.256,                0.00278,                0.12657,                0.00522,                0.00094,                 4.8776,                 4.2216,                 4.1673,             0.00056269,             0.00056269,             0.00056269
                      4,                 4.0356,                  4.478,                 4.2472,                0.00266,                0.12657,                0.00509,                0.00093,                 4.8911,                 4.2559,                 4.1789,             0.00073926,             0.00073926,             0.00073926
                      5,                 4.2812,                 4.2316,                 4.1635,                0.00266,                0.12657,                0.00509,                0.00093,                 4.8911,                 4.2559,                 4.1789,             0.00090792,             0.00090792,             0.00090792
                      6,                 4.3569,                 4.1996,                 4.1383,                0.00228,                0.08954,                0.00181,                0.00032,                 4.9462,                 4.4042,                 4.2208,              0.0010686,              0.0010686,              0.0010686
                      7,                 4.5232,                 4.1346,                 4.0808,                0.00228,                0.08954,                0.00181,                0.00032,                 4.9462,                 4.4042,                 4.2208,              0.0012215,              0.0012215,              0.0012215
                      8,                 4.3587,                 4.0018,                 4.0782,                0.00284,                0.12657,                0.01064,                0.00129,                 4.9836,                 4.5151,                 4.2618,              0.0012309,              0.0012309,              0.0012309
                      9,                 3.9921,                 3.7548,                 3.9981,                0.00284,                0.12657,                0.01064,                0.00129,                 4.9836,                 4.5151,                 4.2618,              0.0012309,              0.0012309,              0.0012309
                     10,                 4.1122,                 3.8251,                 4.0035,                0.00284,                0.12657,                0.01064,                0.00129,                 4.9836,                 4.5151,                 4.2618,              0.0012026,              0.0012026,              0.0012026
