                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 3.9969,                 3.8992,                 3.9587,                0.77311,                0.04938,                0.05509,                0.00858,                 4.1385,                 4.1676,                  3.928,              0.0011744,              0.0011744,              0.0011744
                     12,                 4.2161,                 3.7814,                 3.9678,                0.77311,                0.04938,                0.05509,                0.00858,                 4.1385,                 4.1676,                  3.928,              0.0011461,              0.0011461,              0.0011461
                     13,                 4.1706,                  3.927,                 3.9077,                0.68244,                0.07407,                0.01913,                0.00347,                 3.9673,                 4.0834,                 3.8316,              0.0011178,              0.0011178,              0.0011178
                     14,                 3.8993,                 3.9276,                 3.9438,                0.68244,                0.07407,                0.01913,                0.00347,                 3.9673,                 4.0834,                 3.8316,              0.0010895,              0.0010895,              0.0010895
                     15,                 3.8569,                 3.7468,                  3.891,                0.77536,                0.09877,                0.08858,                0.03355,                 3.5859,                 5.2605,                 4.1655,              0.0010612,              0.0010612,              0.0010612
                     16,                 3.7733,                  3.562,                 3.8029,                0.77536,                0.09877,                0.08858,                0.03355,                 3.5859,                 5.2605,                 4.1655,              0.0010329,              0.0010329,              0.0010329
                     17,                  3.731,                 3.6919,                 3.9199,                0.77536,                0.09877,                0.08858,                0.03355,                 3.5859,                 5.2605,                 4.1655,              0.0010046,              0.0010046,              0.0010046
                     18,                 3.7302,                 3.5998,                 3.8138,                0.69941,                0.12346,                0.03612,                0.01359,                 3.6348,                 8.4269,                 3.9251,             0.00097629,             0.00097629,             0.00097629
                     19,                 3.8228,                 3.5442,                 3.7817,                0.69941,                0.12346,                0.03612,                0.01359,                 3.6348,                 8.4269,                 3.9251,               0.000948,               0.000948,               0.000948
                     20,                 3.8383,                 3.7579,                 3.8552,                0.68272,                0.17284,                0.01616,                0.00592,                 3.5842,                 14.149,                 3.9303,              0.0009197,              0.0009197,              0.0009197
                     21,                 3.9209,                  3.629,                 3.7829,                0.68272,                0.17284,                0.01616,                0.00592,                 3.5842,                 14.149,                 3.9303,             0.00089141,             0.00089141,             0.00089141
                     22,                  3.736,                 3.4747,                 3.7042,                0.68838,                0.18519,                0.02382,                0.00759,                 3.5701,                 4.8944,                  3.847,             0.00086312,             0.00086312,             0.00086312
                     23,                 3.5987,                 3.6835,                 3.8322,                0.68838,                0.18519,                0.02382,                0.00759,                 3.5701,                 4.8944,                  3.847,             0.00083482,             0.00083482,             0.00083482
                     24,                 3.7688,                  3.563,                 3.7419,                0.68554,                0.11111,                0.01873,                0.00535,                 3.6219,                 4.2522,                 3.7675,             0.00080653,             0.00080653,             0.00080653
                     25,                  3.712,                 3.3766,                 3.5988,                0.68554,                0.11111,                0.01873,                0.00535,                 3.6219,                 4.2522,                 3.7675,             0.00077823,             0.00077823,             0.00077823
                     26,                 3.5583,                 3.5221,                  3.747,                0.68554,                0.11111,                0.01873,                0.00535,                 3.6219,                 4.2522,                 3.7675,             0.00074994,             0.00074994,             0.00074994
                     27,                 3.7535,                 3.4605,                 3.6153,                0.72192,                0.14815,                0.04842,                0.01421,                 3.5944,                 3.5669,                 3.6652,             0.00072164,             0.00072164,             0.00072164
                     28,                 3.6613,                  3.382,                 3.5539,                0.72192,                0.14815,                0.04842,                0.01421,                 3.5944,                 3.5669,                 3.6652,             0.00069335,             0.00069335,             0.00069335
                     29,                 3.6926,                 3.4418,                 3.6987,                 0.7384,                0.12346,                0.06169,                0.02182,                 3.5381,                 3.3484,                 3.6087,             0.00066506,             0.00066506,             0.00066506
                     30,                 3.5662,                  3.414,                 3.6307,                 0.7384,                0.12346,                0.06169,                0.02182,                 3.5381,                 3.3484,                 3.6087,             0.00063676,             0.00063676,             0.00063676
                     31,                 3.4572,                 3.4165,                 3.6364,                0.37961,                0.15749,                0.04902,                0.01142,                 3.6174,                 3.3764,                  3.564,             0.00060847,             0.00060847,             0.00060847
                     32,                 3.5125,                 3.2614,                 3.5475,                0.37961,                0.15749,                0.04902,                0.01142,                 3.6174,                 3.3764,                  3.564,             0.00058017,             0.00058017,             0.00058017
                     33,                 3.5534,                 3.2489,                 3.6213,                0.37961,                0.15749,                0.04902,                0.01142,                 3.6174,                 3.3764,                  3.564,             0.00055188,             0.00055188,             0.00055188
                     34,                 3.5087,                 3.3433,                 3.5756,                0.00538,                0.33403,                0.03813,                0.00746,                 3.7559,                 3.3391,                 3.5652,             0.00052359,             0.00052359,             0.00052359
                     35,                 3.6776,                 3.5342,                 3.5455,                0.00538,                0.33403,                0.03813,                0.00746,                 3.7559,                 3.3391,                 3.5652,             0.00049529,             0.00049529,             0.00049529
                     36,                 3.4575,                   3.31,                 3.5651,                0.79994,                0.06484,                0.07024,                0.01284,                 3.7137,                 3.2755,                 3.4851,               0.000467,               0.000467,               0.000467
                     37,                 3.6568,                 3.2897,                 3.4753,                0.79994,                0.06484,                0.07024,                0.01284,                 3.7137,                 3.2755,                 3.4851,              0.0004387,              0.0004387,              0.0004387
                     38,                 3.5246,                  3.273,                 3.4762,                0.72693,                0.10317,                0.12687,                0.02566,                 3.6304,                 3.1187,                 3.4129,             0.00041041,             0.00041041,             0.00041041
                     39,                   3.37,                 3.1829,                 3.5241,                0.72693,                0.10317,                0.12687,                0.02566,                 3.6304,                 3.1187,                 3.4129,             0.00038211,             0.00038211,             0.00038211
                     40,                 3.5402,                 3.2628,                 3.4625,                0.80442,                0.16049,                 0.1422,                0.03278,                 3.5487,                 3.0854,                 3.3823,             0.00035382,             0.00035382,             0.00035382
                     41,                 3.3692,                 3.7041,                 3.4053,                0.80442,                0.16049,                 0.1422,                0.03278,                 3.5487,                 3.0854,                 3.3823,             0.00032553,             0.00032553,             0.00032553
                     42,                 3.3632,                 3.6506,                 3.3636,                0.80442,                0.16049,                 0.1422,                0.03278,                 3.5487,                 3.0854,                 3.3823,             0.00029723,             0.00029723,             0.00029723
                     43,                 3.5919,                 3.6486,                 3.3589,                  0.816,                0.16032,                0.14881,                 0.0393,                 3.3951,                 3.0772,                 3.3243,             0.00026894,             0.00026894,             0.00026894
                     44,                 3.2009,                 3.4825,                  3.434,                  0.816,                0.16032,                0.14881,                 0.0393,                 3.3951,                 3.0772,                 3.3243,             0.00024064,             0.00024064,             0.00024064
                     45,                  3.254,                 3.4354,                 3.3696,                0.80012,                0.09877,                0.12649,                0.04073,                 3.3817,                 3.0854,                 3.3078,             0.00021235,             0.00021235,             0.00021235
                     46,                 3.2064,                 3.4035,                  3.367,                0.80012,                0.09877,                0.12649,                0.04073,                 3.3817,                 3.0854,                 3.3078,             0.00018406,             0.00018406,             0.00018406
                     47,                 3.1096,                 3.5584,                 3.3135,                0.77814,                0.13648,                0.12627,                0.04367,                 3.3032,                 3.0214,                 3.2965,             0.00015576,             0.00015576,             0.00015576
                     48,                 3.2028,                 3.4534,                 3.2833,                0.77814,                0.13648,                0.12627,                0.04367,                 3.3032,                 3.0214,                 3.2965,             0.00012747,             0.00012747,             0.00012747
                     49,                 3.2869,                 3.3198,                 3.2897,                0.77814,                0.13648,                0.12627,                0.04367,                 3.3032,                 3.0214,                 3.2965,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 3.3515,                 3.4347,                 3.2771,                0.77772,                0.14815,                0.12514,                0.04394,                 3.2707,                 2.9926,                 3.2967,             7.0878e-05,             7.0878e-05,             7.0878e-05
