                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5425,                 4.5477,                 4.2814,                0.00243,                0.10188,                0.00219,                 0.0005,                 4.8652,                 4.2207,                 4.1613,             0.00018577,             0.00018577,             0.00018577
                      2,                 4.4468,                 4.4872,                 4.2902,                0.00252,                0.11423,                0.00451,                 0.0008,                 4.8704,                 4.2196,                 4.1645,             0.00025851,             0.00025851,             0.00025851
                      3,                 4.2834,                  4.426,                 4.2789,                0.00251,                0.10188,                0.00482,                0.00099,                 4.8767,                 4.2188,                 4.1667,              0.0001992,              0.0001992,              0.0001992
