                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2824,                 4.5261,                 4.2607,                0.00216,                0.10188,                0.00175,                 0.0004,                 4.8445,                 4.4393,                 4.1593,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 4.5086,                 4.6076,                 4.2351,                0.00214,                0.10188,                0.00172,                0.00039,                  4.845,                 4.4393,                 4.1596,             2.8723e-05,             2.8723e-05,             2.8723e-05
                      3,                 4.3226,                 4.5078,                 4.2497,                0.00212,                0.10188,                 0.0018,                0.00041,                 4.8455,                 4.4393,                   4.16,             2.4293e-05,             2.4293e-05,             2.4293e-05
