                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7352,                 5.5711,                 2.3361,                0.01328,                0.54174,                0.03944,                0.01162,                 2.8649,                  3.366,                 1.6525,             0.00055547,             0.00055547,             0.00055547
                      2,                 3.0035,                 3.2059,                 1.6835,                0.28775,                0.15121,                 0.1289,                0.04288,                 2.6558,                 2.5335,                 1.4467,              0.0011001,              0.0011001,              0.0011001
                      3,                 2.7266,                 2.7459,                 1.5331,                0.33365,                0.19898,                 0.1862,                0.07065,                  2.407,                 2.2116,                 1.3572,              0.0016338,              0.0016338,              0.0016338
                      4,                 2.5989,                 2.5905,                 1.4647,                0.35938,                0.23284,                0.22448,                0.09346,                 2.3504,                 2.1502,                 1.2963,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.5147,                 2.4275,                 1.3888,                0.36713,                0.25557,                0.23424,                0.10295,                 2.1898,                 2.1424,                 1.2568,              0.0016175,              0.0016175,              0.0016175
                      6,                  2.404,                 2.2838,                 1.3412,                0.32732,                0.26391,                0.21459,                0.09137,                 2.1894,                 2.0793,                 1.2765,               0.001601,               0.001601,               0.001601
                      7,                 2.3461,                 2.1855,                 1.3042,                0.45609,                0.28989,                0.30409,                0.14655,                 2.0384,                 1.9884,                 1.1731,              0.0015845,              0.0015845,              0.0015845
